month,Date,Open,High,Low,Close,Volume,Adj Close,change,percent change
3,03/03/2008,5884.3,5884.3,5414.4,5702.1,1663850600,5702.1,0.969036249,-3.0963751
3,01/03/2007,6171.5,6355.3,5989.6,6308,1937028700,6308,1.0221178,2.211779956
3,01/03/2006,5791.5,6047,5783.9,5964.6,1991586200,5964.6,1.02988863,2.988862989
3,01/03/2005,4968.5,5042,4886.5,4894.4,1736076300,4894.4,0.985086042,-1.491395793
3,01/03/2004,4492.2,4566.2,4291.3,4385.7,1927805000,4385.7,0.97629224,-2.370776012
3,03/03/2003,3655.6,3881.7,3277.5,3613.3,1790568500,3613.3,0.988428712,-1.157128789
3,01/03/2002,5101,5331.6,5101,5271.8,0,5271.8,1.033483631,3.348363066
3,01/03/2001,5917.9,6050.4,5279.6,5633.7,0,5633.7,0.951976208,-4.802379222
3,01/03/2000,6232.6,6770.4,6232.6,6540.2,0,6540.2,1.0493534,4.935339987
3,01/03/1999,6177.5,6365.4,5968.3,6295.3,0,6295.3,1.019069203,1.906920275
3,02/03/1998,5767.3,6105.8,5629.1,5932.2,0,5932.2,1.028592236,2.859223553
3,03/03/1997,4293.4,4466.3,4214.3,4312.9,0,4312.9,1.004541855,0.454185494
3,01/03/1996,3729.5,3792.5,3629.1,3699.7,0,3699.7,0.992009653,-0.799034723
3,01/03/1995,3020,3185.6,2958.6,3137.9,0,3137.9,1.039039735,3.90397351
3,01/03/1994,3322.9,3328.8,3061.9,3086.4,0,3086.4,0.928827229,-7.117277077
3,01/03/1993,2861.9,2980.9,2833,2878.7,0,2878.7,1.005870226,0.587022607
3,02/03/1992,2552.2,2574.8,2427.9,2440.1,0,2440.1,0.95607711,-4.392289006
3,01/03/1991,2374.9,2527.1,2368.4,2456.5,0,2456.5,1.034359341,3.435934145
3,01/03/1990,2246.2,2306.9,2211.8,2247.9,0,2247.9,1.000756834,0.075683376
3,01/03/1989,2017.9,2132.5,2014.3,2075,0,2075,1.028296744,2.829674414
3,01/03/1988,1782.1,1855.7,1738.3,1742.5,0,1742.5,0.977779025,-2.222097525
3,02/03/1987,1986.6,2064.5,1965.7,1997.5,0,1997.5,1.005486761,0.54867613
3,03/03/1986,1545.2,1690.1,1529.8,1668.8,0,1668.8,1.079989645,7.998964535
3,01/03/1985,1256.7,1309.9,1247.7,1277,0,1277,1.016153418,1.615341768
4,01/04/2010,5679.6,5833.7,5533.6,5553.3,1082696100,5553.3,0.977762518,-2.223748151
4,01/04/2009,3926.1,4293.6,3838.2,4243.7,1331381800,4243.7,1.080894526,8.089452637
4,01/04/2008,5702.1,6134.5,5670.4,6087.3,1201736300,6087.3,1.067554059,6.755405903
4,02/04/2007,6308,6516.2,6293.9,6449.2,1733620500,6449.2,1.022384274,2.238427394
4,03/04/2006,5964.6,6137.1,5964.6,6023.1,1801112900,6023.1,1.009807866,0.980786641
4,01/04/2005,4894.4,4994.1,4773.7,4801.7,1626241100,4801.7,0.981059987,-1.894001308
4,01/04/2004,4385.7,4601.6,4385.1,4489.7,1718814500,4489.7,1.023713432,2.371343229
4,01/04/2003,3613.3,3997.3,3612.3,3926,1549148500,3926,1.086541389,8.654138876
4,02/04/2002,5271.8,5292.3,5116,5165.6,0,5165.6,0.979855078,-2.014492204
4,02/04/2001,5633.7,5995.4,5354.3,5966.9,0,5966.9,1.059144079,5.914407938
4,03/04/2000,6540.2,6586.3,5915.2,6327.4,0,6327.4,0.967462769,-3.253723128
4,01/04/1999,6283.1,6635.9,6280.2,6552.2,0,6552.2,1.042829177,4.282917668
4,01/04/1998,5930.9,6150.5,5699.9,5928.3,0,5928.3,0.999561618,-0.043838203
4,01/04/1997,4205.1,4466.5,4200.5,4436,0,4436,1.054909515,5.490951464
4,01/04/1996,3692.1,3858.9,3692.1,3817.9,0,3817.9,1.03407275,3.407274993
4,03/04/1995,3134.2,3241.5,3129.5,3216.7,0,3216.7,1.026322507,2.632250654
4,05/04/1994,3060.9,3191.4,3047,3125.3,0,3125.3,1.021039564,2.103956353
4,01/04/1993,2871.3,2897.5,2773.7,2813.1,0,2813.1,0.979730436,-2.026956431
4,01/04/1992,2384.1,2673.5,2374.1,2654.1,0,2654.1,1.113250283,11.32502831
4,02/04/1991,2440.2,2555.3,2438.6,2486.2,0,2486.2,1.018850914,1.885091386
4,02/04/1990,2224.3,2247.5,2084.4,2103.4,0,2103.4,0.945645821,-5.435417884
4,03/04/1989,2074.1,2134.9,2005.2,2118,0,2118,1.021165807,2.116580686
4,05/04/1988,1737,1826.8,1725.4,1802.2,0,1802.2,1.037535982,3.753598158
4,01/04/1987,1997.1,2050.9,1903.3,2050.5,0,2050.5,1.026738771,2.673877122
4,01/04/1986,1671.3,1721.7,1603.7,1660.5,0,1660.5,0.993537964,-0.646203554
4,01/04/1985,1276.7,1313,1266.5,1291,0,1291,1.011200752,1.120075194
4,02/04/1984,1108.1,1138.3,1095.4,1138.3,0,1138.3,1.027253858,2.725385796
5,04/05/2010,5553.3,5566,4898.5,5188.4,1682602400,5188.4,0.934291322,-6.570867772
5,01/05/2009,4243.7,4520.8,4210.8,4417.9,1266231100,4417.9,1.041049085,4.104908453
5,01/05/2008,6087.3,6377,6041.1,6053.5,1248136200,6053.5,0.994447456,-0.555254382
5,01/05/2007,6449.2,6675,6395.5,6621.4,2005402100,6621.4,1.026700986,2.670098617
5,02/05/2006,6023.1,6133.5,5510.5,5723.8,2008162400,5723.8,0.950307981,-4.969201906
5,03/05/2005,4801.7,5004.3,4801.7,4964,1613726200,4964,1.033800529,3.380052898
5,04/05/2004,4489.7,4573.7,4363,4430.7,1818252400,4430.7,0.98685881,-1.314118983
5,01/05/2003,3926,4096,3875.3,4048.1,1673469100,4048.1,1.031100357,3.11003566
